system:index,class,.geo
00000000000000000000,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.3252]}"
00000000000000000001,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.324232]}"
00000000000000000002,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.323264]}"
00000000000000000003,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.322296000000001]}"
00000000000000000004,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.321328000000001]}"
00000000000000000005,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.32036]}"
00000000000000000006,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.319392]}"
00000000000000000007,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.318424]}"
00000000000000000008,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.317456]}"
00000000000000000009,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.316488000000001]}"
00000000000000000010,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.315520000000001]}"
00000000000000000011,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.314552]}"
00000000000000000012,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.313584]}"
00000000000000000013,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.312616]}"
00000000000000000014,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.311648]}"
00000000000000000015,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.310680000000001]}"
00000000000000000016,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.309712000000001]}"
00000000000000000017,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.308744]}"
00000000000000000018,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.307776]}"
00000000000000000019,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.306808]}"
00000000000000000020,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.30584]}"
00000000000000000021,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.304872000000001]}"
00000000000000000022,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.303904000000001]}"
00000000000000000023,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.302936]}"
00000000000000000024,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.301968]}"
00000000000000000025,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.301]}"
00000000000000000026,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.300032]}"
00000000000000000027,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.299064000000001]}"
00000000000000000028,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.298096000000001]}"
00000000000000000029,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.297128]}"
00000000000000000030,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.29616]}"
00000000000000000031,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.295192]}"
00000000000000000032,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.294224]}"
00000000000000000033,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.293256000000001]}"
00000000000000000034,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.292288000000001]}"
00000000000000000035,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.29132]}"
00000000000000000036,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.290352]}"
00000000000000000037,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.289384]}"
00000000000000000038,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.288416]}"
00000000000000000039,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.287448000000001]}"
00000000000000000040,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.286480000000001]}"
00000000000000000041,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.285512]}"
00000000000000000042,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.284544]}"
00000000000000000043,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.283576]}"
00000000000000000044,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.282608]}"
00000000000000000045,1,"{""type"":""Point"",""coordinates"":[-39.021,-12.281640000000001]}"
00000000000000000046,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.280672000000001]}"
00000000000000000047,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.279704]}"
00000000000000000048,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.278736]}"
00000000000000000049,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.277768]}"
00000000000000000050,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.276800000000001]}"
00000000000000000051,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.275832000000001]}"
00000000000000000052,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.274864]}"
00000000000000000053,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.273896]}"
00000000000000000054,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.272928]}"
00000000000000000055,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.27196]}"
00000000000000000056,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.270992000000001]}"
00000000000000000057,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.270024000000001]}"
00000000000000000058,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.269056]}"
00000000000000000059,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.268088]}"
00000000000000000060,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.26712]}"
00000000000000000061,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.266152]}"
00000000000000000062,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.265184000000001]}"
00000000000000000063,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.264216000000001]}"
00000000000000000064,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.263248]}"
00000000000000000065,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.26228]}"
00000000000000000066,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.261312]}"
00000000000000000067,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.260344]}"
00000000000000000068,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.259376000000001]}"
00000000000000000069,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.258408000000001]}"
00000000000000000070,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.25744]}"
00000000000000000071,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.256472]}"
00000000000000000072,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.255504]}"
00000000000000000073,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.254536]}"
