system:index,.geo
00000000000000000000,"{""type"":""Point"",""coordinates"":[-39.013683695652176,-12.289203342618386]}"
00000000000000000001,"{""type"":""Point"",""coordinates"":[-39.01257934782609,-12.287315877437326]}"
00000000000000000002,"{""type"":""Point"",""coordinates"":[-39.01175108695652,-12.287585515320336]}"
00000000000000000003,"{""type"":""Point"",""coordinates"":[-39.01092282608696,-12.29001225626741]}"
00000000000000000004,"{""type"":""Point"",""coordinates"":[-39.01037065217392,-12.28677660167131]}"
00000000000000000005,"{""type"":""Point"",""coordinates"":[-39.00954239130435,-12.289742618384402]}"
00000000000000000006,"{""type"":""Point"",""coordinates"":[-39.00899021739131,-12.285698050139276]}"
00000000000000000007,"{""type"":""Point"",""coordinates"":[-39.00788586956522,-12.29001225626741]}"
00000000000000000008,"{""type"":""Point"",""coordinates"":[-38.98138152173913,-12.244443454038999]}"
00000000000000000009,"{""type"":""Point"",""coordinates"":[-38.98055326086957,-12.244173816155989]}"
00000000000000000010,"{""type"":""Point"",""coordinates"":[-38.98000108695653,-12.240938161559889]}"
00000000000000000011,"{""type"":""Point"",""coordinates"":[-38.97917282608696,-12.245791643454039]}"
00000000000000000012,"{""type"":""Point"",""coordinates"":[-38.978620652173916,-12.244173816155989]}"
00000000000000000013,"{""type"":""Point"",""coordinates"":[-38.97806847826087,-12.242555988857939]}"
00000000000000000014,"{""type"":""Point"",""coordinates"":[-38.97751630434783,-12.240938161559889]}"
00000000000000000015,"{""type"":""Point"",""coordinates"":[-38.97696413043479,-12.244713091922007]}"
00000000000000000016,"{""type"":""Point"",""coordinates"":[-38.97668804347826,-12.239589972144847]}"
00000000000000000017,"{""type"":""Point"",""coordinates"":[-38.976411956521744,-12.198605013927578]}"
00000000000000000018,"{""type"":""Point"",""coordinates"":[-38.9758597826087,-12.241207799442897]}"
00000000000000000019,"{""type"":""Point"",""coordinates"":[-38.975583695652176,-12.200222841225628]}"
00000000000000000020,"{""type"":""Point"",""coordinates"":[-38.97503152173913,-12.241477437325907]}"
00000000000000000021,"{""type"":""Point"",""coordinates"":[-38.97447934782609,-12.203997771587744]}"
00000000000000000022,"{""type"":""Point"",""coordinates"":[-38.97392717391305,-12.201840668523678]}"
00000000000000000023,"{""type"":""Point"",""coordinates"":[-38.973375000000004,-12.199413927576602]}"
00000000000000000024,"{""type"":""Point"",""coordinates"":[-38.972546739130436,-12.20318885793872]}"
00000000000000000025,"{""type"":""Point"",""coordinates"":[-38.97199456521739,-12.199144289693594]}"
00000000000000000026,"{""type"":""Point"",""coordinates"":[-38.971166304347825,-12.259543175487465]}"
00000000000000000027,"{""type"":""Point"",""coordinates"":[-38.97089021739131,-12.20130139275766]}"
00000000000000000028,"{""type"":""Point"",""coordinates"":[-38.970338043478264,-12.261430640668525]}"
00000000000000000029,"{""type"":""Point"",""coordinates"":[-38.97006195652174,-12.257655710306407]}"
00000000000000000030,"{""type"":""Point"",""coordinates"":[-38.96978586956522,-12.254689693593315]}"
00000000000000000031,"{""type"":""Point"",""coordinates"":[-38.9695097826087,-12.202919220055712]}"
00000000000000000032,"{""type"":""Point"",""coordinates"":[-38.96923369565218,-12.202379944289694]}"
00000000000000000033,"{""type"":""Point"",""coordinates"":[-38.96895760869565,-12.202919220055712]}"
00000000000000000034,"{""type"":""Point"",""coordinates"":[-38.968681521739136,-12.251454038997215]}"
00000000000000000035,"{""type"":""Point"",""coordinates"":[-38.96840543478261,-12.253611142061281]}"
00000000000000000036,"{""type"":""Point"",""coordinates"":[-38.96812934782609,-12.257116434540391]}"
00000000000000000037,"{""type"":""Point"",""coordinates"":[-38.96785326086957,-12.261700278551533]}"
00000000000000000038,"{""type"":""Point"",""coordinates"":[-38.96785326086957,-12.200492479108636]}"
00000000000000000039,"{""type"":""Point"",""coordinates"":[-38.96757717391305,-12.250645125348191]}"
00000000000000000040,"{""type"":""Point"",""coordinates"":[-38.967301086956525,-12.256577158774373]}"
00000000000000000041,"{""type"":""Point"",""coordinates"":[-38.967025,-12.2638573816156]}"
00000000000000000042,"{""type"":""Point"",""coordinates"":[-38.967025,-12.204267409470752]}"
00000000000000000043,"{""type"":""Point"",""coordinates"":[-38.96674891304348,-12.255498607242341]}"
00000000000000000044,"{""type"":""Point"",""coordinates"":[-38.96647282608696,-12.264127019498607]}"
00000000000000000045,"{""type"":""Point"",""coordinates"":[-38.96647282608696,-12.205345961002786]}"
00000000000000000046,"{""type"":""Point"",""coordinates"":[-38.96619673913044,-12.257116434540391]}"
00000000000000000047,"{""type"":""Point"",""coordinates"":[-38.965920652173914,-12.266823398328691]}"
00000000000000000048,"{""type"":""Point"",""coordinates"":[-38.965920652173914,-12.250645125348191]}"
00000000000000000049,"{""type"":""Point"",""coordinates"":[-38.965644565217396,-12.260891364902507]}"
00000000000000000050,"{""type"":""Point"",""coordinates"":[-38.965644565217396,-12.20318885793872]}"
00000000000000000051,"{""type"":""Point"",""coordinates"":[-38.96536847826087,-12.255498607242341]}"
00000000000000000052,"{""type"":""Point"",""coordinates"":[-38.96509239130435,-12.266823398328691]}"
00000000000000000053,"{""type"":""Point"",""coordinates"":[-38.96509239130435,-12.250645125348191]}"
00000000000000000054,"{""type"":""Point"",""coordinates"":[-38.96481630434783,-12.26223955431755]}"
00000000000000000055,"{""type"":""Point"",""coordinates"":[-38.96481630434783,-12.205345961002786]}"
00000000000000000056,"{""type"":""Point"",""coordinates"":[-38.96454021739131,-12.257925348189415]}"
00000000000000000057,"{""type"":""Point"",""coordinates"":[-38.96454021739131,-12.20130139275766]}"
00000000000000000058,"{""type"":""Point"",""coordinates"":[-38.964264130434785,-12.254150417827299]}"
00000000000000000059,"{""type"":""Point"",""coordinates"":[-38.96398804347827,-12.2670930362117]}"
00000000000000000060,"{""type"":""Point"",""coordinates"":[-38.96398804347827,-12.250914763231199]}"
00000000000000000061,"{""type"":""Point"",""coordinates"":[-38.96371195652174,-12.263587743732591]}"
00000000000000000062,"{""type"":""Point"",""coordinates"":[-38.96371195652174,-12.247409470752089]}"
00000000000000000063,"{""type"":""Point"",""coordinates"":[-38.96343586956522,-12.2606217270195]}"
00000000000000000064,"{""type"":""Point"",""coordinates"":[-38.96343586956522,-12.204537047353762]}"
00000000000000000065,"{""type"":""Point"",""coordinates"":[-38.9631597826087,-12.2573860724234]}"
00000000000000000066,"{""type"":""Point"",""coordinates"":[-38.9631597826087,-12.20130139275766]}"
00000000000000000067,"{""type"":""Point"",""coordinates"":[-38.962883695652174,-12.254150417827299]}"
00000000000000000068,"{""type"":""Point"",""coordinates"":[-38.962607608695656,-12.2670930362117]}"
00000000000000000069,"{""type"":""Point"",""coordinates"":[-38.962607608695656,-12.250914763231199]}"
00000000000000000070,"{""type"":""Point"",""coordinates"":[-38.96233152173913,-12.263587743732591]}"
00000000000000000071,"{""type"":""Point"",""coordinates"":[-38.96233152173913,-12.247409470752089]}"
00000000000000000072,"{""type"":""Point"",""coordinates"":[-38.96205543478261,-12.259812813370475]}"
00000000000000000073,"{""type"":""Point"",""coordinates"":[-38.96205543478261,-12.20318885793872]}"
00000000000000000074,"{""type"":""Point"",""coordinates"":[-38.96177934782609,-12.255228969359333]}"
00000000000000000075,"{""type"":""Point"",""coordinates"":[-38.96150326086957,-12.264666295264625]}"
00000000000000000076,"{""type"":""Point"",""coordinates"":[-38.96150326086957,-12.248488022284123]}"
00000000000000000077,"{""type"":""Point"",""coordinates"":[-38.961227173913045,-12.258464623955433]}"
00000000000000000078,"{""type"":""Point"",""coordinates"":[-38.96095108695653,-12.26871086350975]}"
00000000000000000079,"{""type"":""Point"",""coordinates"":[-38.96095108695653,-12.252532590529249]}"
00000000000000000080,"{""type"":""Point"",""coordinates"":[-38.960675,-12.263048467966575]}"
00000000000000000081,"{""type"":""Point"",""coordinates"":[-38.960675,-12.246870194986073]}"
00000000000000000082,"{""type"":""Point"",""coordinates"":[-38.960398913043484,-12.257925348189415]}"
00000000000000000083,"{""type"":""Point"",""coordinates"":[-38.96012282608696,-12.269250139275767]}"
00000000000000000084,"{""type"":""Point"",""coordinates"":[-38.96012282608696,-12.253071866295265]}"
00000000000000000085,"{""type"":""Point"",""coordinates"":[-38.959846739130434,-12.264935933147633]}"
00000000000000000086,"{""type"":""Point"",""coordinates"":[-38.959846739130434,-12.248757660167131]}"
00000000000000000087,"{""type"":""Point"",""coordinates"":[-38.959570652173916,-12.2606217270195]}"
00000000000000000088,"{""type"":""Point"",""coordinates"":[-38.959570652173916,-12.244443454038999]}"
00000000000000000089,"{""type"":""Point"",""coordinates"":[-38.95929456521739,-12.256846796657383]}"
00000000000000000090,"{""type"":""Point"",""coordinates"":[-38.95901847826087,-12.269519777158775]}"
00000000000000000091,"{""type"":""Point"",""coordinates"":[-38.95901847826087,-12.253341504178273]}"
00000000000000000092,"{""type"":""Point"",""coordinates"":[-38.95874239130435,-12.266014484679667]}"
00000000000000000093,"{""type"":""Point"",""coordinates"":[-38.95874239130435,-12.249836211699165]}"
00000000000000000094,"{""type"":""Point"",""coordinates"":[-38.95846630434783,-12.263048467966575]}"
00000000000000000095,"{""type"":""Point"",""coordinates"":[-38.95846630434783,-12.246870194986073]}"
00000000000000000096,"{""type"":""Point"",""coordinates"":[-38.958190217391305,-12.260082451253483]}"
00000000000000000097,"{""type"":""Point"",""coordinates"":[-38.958190217391305,-12.243904178272981]}"
00000000000000000098,"{""type"":""Point"",""coordinates"":[-38.95791413043479,-12.2573860724234]}"
00000000000000000099,"{""type"":""Point"",""coordinates"":[-38.95763804347826,-12.271137604456825]}"
00000000000000000100,"{""type"":""Point"",""coordinates"":[-38.95763804347826,-12.254959331476323]}"
00000000000000000101,"{""type"":""Point"",""coordinates"":[-38.957361956521744,-12.26871086350975]}"
00000000000000000102,"{""type"":""Point"",""coordinates"":[-38.957361956521744,-12.252532590529249]}"
00000000000000000103,"{""type"":""Point"",""coordinates"":[-38.95708586956522,-12.266553760445683]}"
00000000000000000104,"{""type"":""Point"",""coordinates"":[-38.95708586956522,-12.250375487465181]}"
00000000000000000105,"{""type"":""Point"",""coordinates"":[-38.9568097826087,-12.264396657381617]}"
00000000000000000106,"{""type"":""Point"",""coordinates"":[-38.9568097826087,-12.248218384401115]}"
00000000000000000107,"{""type"":""Point"",""coordinates"":[-38.956533695652176,-12.262509192200557]}"
00000000000000000108,"{""type"":""Point"",""coordinates"":[-38.956533695652176,-12.246330919220057]}"
00000000000000000109,"{""type"":""Point"",""coordinates"":[-38.95625760869566,-12.2606217270195]}"
