system:index,.geo
00000000000000000000,"{""type"":""Point"",""coordinates"":[-8.616370636792453,41.139122350230416]}"
00000000000000000001,"{""type"":""Point"",""coordinates"":[-8.627132429245284,41.14507350230414]}"
00000000000000000002,"{""type"":""Point"",""coordinates"":[-8.624621344339623,41.15102465437788]}"
00000000000000000003,"{""type"":""Point"",""coordinates"":[-8.611348466981132,41.15102465437788]}"
00000000000000000004,"{""type"":""Point"",""coordinates"":[-8.628208608490567,41.15697580645161]}"
00000000000000000005,"{""type"":""Point"",""coordinates"":[-8.613142099056605,41.15697580645161]}"
00000000000000000006,"{""type"":""Point"",""coordinates"":[-8.634306957547171,41.16373847926267]}"
00000000000000000007,"{""type"":""Point"",""coordinates"":[-8.672690683962266,41.1715831797235]}"
00000000000000000008,"{""type"":""Point"",""coordinates"":[-8.58874870283019,41.1715831797235]}"
00000000000000000009,"{""type"":""Point"",""coordinates"":[-8.605967570754718,41.17969838709677]}"
00000000000000000010,"{""type"":""Point"",""coordinates"":[-8.61529445754717,41.139122350230416]}"
00000000000000000011,"{""type"":""Point"",""coordinates"":[-8.624980070754717,41.14345046082949]}"
00000000000000000012,"{""type"":""Point"",""coordinates"":[-8.619240448113208,41.14345046082949]}"
00000000000000000013,"{""type"":""Point"",""coordinates"":[-8.613500825471698,41.14345046082949]}"
00000000000000000014,"{""type"":""Point"",""coordinates"":[-8.603456485849057,41.14345046082949]}"
00000000000000000015,"{""type"":""Point"",""coordinates"":[-8.597716863207548,41.14345046082949]}"
00000000000000000016,"{""type"":""Point"",""coordinates"":[-8.591977240566038,41.14345046082949]}"
00000000000000000017,"{""type"":""Point"",""coordinates"":[-8.586237617924528,41.14345046082949]}"
00000000000000000018,"{""type"":""Point"",""coordinates"":[-8.665874882075473,41.14777857142857]}"
00000000000000000019,"{""type"":""Point"",""coordinates"":[-8.660135259433963,41.14777857142857]}"
00000000000000000020,"{""type"":""Point"",""coordinates"":[-8.635383136792454,41.14777857142857]}"
00000000000000000021,"{""type"":""Point"",""coordinates"":[-8.629643514150944,41.14777857142857]}"
00000000000000000022,"{""type"":""Point"",""coordinates"":[-8.623903891509434,41.14777857142857]}"
00000000000000000023,"{""type"":""Point"",""coordinates"":[-8.612065919811322,41.14777857142857]}"
00000000000000000024,"{""type"":""Point"",""coordinates"":[-8.604173938679246,41.14777857142857]}"
00000000000000000025,"{""type"":""Point"",""coordinates"":[-8.598434316037736,41.14777857142857]}"
00000000000000000026,"{""type"":""Point"",""coordinates"":[-8.589466155660377,41.14777857142857]}"
00000000000000000027,"{""type"":""Point"",""coordinates"":[-8.583726533018869,41.14777857142857]}"
00000000000000000028,"{""type"":""Point"",""coordinates"":[-8.678430306603774,41.15210668202765]}"
00000000000000000029,"{""type"":""Point"",""coordinates"":[-8.670538325471698,41.15210668202765]}"
00000000000000000030,"{""type"":""Point"",""coordinates"":[-8.660135259433963,41.15210668202765]}"
00000000000000000031,"{""type"":""Point"",""coordinates"":[-8.646862382075472,41.15210668202765]}"
00000000000000000032,"{""type"":""Point"",""coordinates"":[-8.641122759433962,41.15210668202765]}"
00000000000000000033,"{""type"":""Point"",""coordinates"":[-8.635383136792454,41.15210668202765]}"
00000000000000000034,"{""type"":""Point"",""coordinates"":[-8.629643514150944,41.15210668202765]}"
00000000000000000035,"{""type"":""Point"",""coordinates"":[-8.623903891509434,41.15210668202765]}"
00000000000000000036,"{""type"":""Point"",""coordinates"":[-8.618164268867925,41.15210668202765]}"
00000000000000000037,"{""type"":""Point"",""coordinates"":[-8.604891391509435,41.15210668202765]}"
00000000000000000038,"{""type"":""Point"",""coordinates"":[-8.599151768867925,41.15210668202765]}"
00000000000000000039,"{""type"":""Point"",""coordinates"":[-8.593412146226415,41.15210668202765]}"
00000000000000000040,"{""type"":""Point"",""coordinates"":[-8.587672523584907,41.15210668202765]}"
00000000000000000041,"{""type"":""Point"",""coordinates"":[-8.581932900943396,41.15210668202765]}"
00000000000000000042,"{""type"":""Point"",""coordinates"":[-8.650090919811321,41.156434792626726]}"
00000000000000000043,"{""type"":""Point"",""coordinates"":[-8.644351297169813,41.156434792626726]}"
00000000000000000044,"{""type"":""Point"",""coordinates"":[-8.638611674528303,41.156434792626726]}"
00000000000000000045,"{""type"":""Point"",""coordinates"":[-8.632872051886793,41.156434792626726]}"
00000000000000000046,"{""type"":""Point"",""coordinates"":[-8.620316627358491,41.156434792626726]}"
00000000000000000047,"{""type"":""Point"",""coordinates"":[-8.614577004716981,41.156434792626726]}"
00000000000000000048,"{""type"":""Point"",""coordinates"":[-8.60776120283019,41.156434792626726]}"
00000000000000000049,"{""type"":""Point"",""coordinates"":[-8.60202158018868,41.156434792626726]}"
00000000000000000050,"{""type"":""Point"",""coordinates"":[-8.59628195754717,41.156434792626726]}"
00000000000000000051,"{""type"":""Point"",""coordinates"":[-8.590542334905662,41.156434792626726]}"
00000000000000000052,"{""type"":""Point"",""coordinates"":[-8.58300908018868,41.156434792626726]}"
00000000000000000053,"{""type"":""Point"",""coordinates"":[-8.57726945754717,41.156434792626726]}"
00000000000000000054,"{""type"":""Point"",""coordinates"":[-8.642916391509434,41.1607629032258]}"
00000000000000000055,"{""type"":""Point"",""coordinates"":[-8.637176768867926,41.1607629032258]}"
00000000000000000056,"{""type"":""Point"",""coordinates"":[-8.631437146226416,41.1607629032258]}"
00000000000000000057,"{""type"":""Point"",""coordinates"":[-8.625697523584906,41.1607629032258]}"
00000000000000000058,"{""type"":""Point"",""coordinates"":[-8.619957900943398,41.1607629032258]}"
00000000000000000059,"{""type"":""Point"",""coordinates"":[-8.614218278301887,41.1607629032258]}"
00000000000000000060,"{""type"":""Point"",""coordinates"":[-8.605967570754718,41.1607629032258]}"
00000000000000000061,"{""type"":""Point"",""coordinates"":[-8.600227948113208,41.1607629032258]}"
00000000000000000062,"{""type"":""Point"",""coordinates"":[-8.594488325471698,41.1607629032258]}"
00000000000000000063,"{""type"":""Point"",""coordinates"":[-8.58874870283019,41.1607629032258]}"
00000000000000000064,"{""type"":""Point"",""coordinates"":[-8.580856721698114,41.1607629032258]}"
